1c. LEA ID,1s. Latitude,1t. Longitude,1a. State,1b. Local Education Agency (LEA) or entity name,1l. LEA type (name),adoption_count,adopted,knn5_peer_adopt_count,knn5_peer_adopt_share,knn5_peer_adopt_share_idw,within_50km_peer_count,within_50km_peer_adopt_count,within_50km_peer_adopt_share,within_100km_peer_count,within_100km_peer_adopt_count,within_100km_peer_adopt_share
103584,31.232732,-85.391615,ALABAMA,Barnabas School of Leadership,Independent charter district,0,0,0,0.0,0.0,8,0,0.0,35,1,0.02857142857142857
200001,60.802916,-161.77297,ALASKA,Lower Kuskokwim School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200003,62.092018,-163.724886,ALASKA,Lower Yukon School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200004,60.913883,-161.448992,ALASKA,Yupiit School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200005,61.531048,-165.585866,ALASKA,Kashunamiut School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200006,57.050928,-135.351918,ALASKA,Mount Edgecumbe,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,3,0,0.0
200007,55.342221,-160.496135,ALASKA,Aleutians East Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200010,61.173216,-149.882214,ALASKA,Aleutian Region School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,4,0,0.0
200020,63.876727,-160.793772,ALASKA,Bering Strait School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200030,58.733307,-157.004582,ALASKA,Bristol Bay Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,3,0,0.0
200050,63.333206,-142.958861,ALASKA,Alaska Gateway School District,Regular public school district that is not a component of a supervisory union,1,1,0,0.0,0.0,0,0,,0,0,
200060,60.543043,-145.757525,ALASKA,Cordova City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,1,0,0.0
200070,62.11293,-145.526532,ALASKA,Copper River School District,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.1812019166211688,0,0,,0,0,
200090,55.475526,-133.1372,ALASKA,Craig City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,3,0,0.0,4,0,0.0
200100,64.043075,-145.711185,ALASKA,Delta/Greely School District,Regular public school district that is not a component of a supervisory union,0,0,1,0.2,0.19083734857882695,0,0,,0,0,
200120,59.042379,-158.464858,ALASKA,Dillingham City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,2,0,0.0
200130,64.746135,-156.878509,ALASKA,Galena City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200150,55.353558,-131.677936,ALASKA,Ketchikan Gateway Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,5,0,0.0
200180,61.193958,-149.775759,ALASKA,Anchorage School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,3,0,0.0
200210,58.302965,-134.424249,ALASKA,Juneau Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,2,0,0.0
200240,57.065302,-135.351601,ALASKA,Sitka School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,3,0,0.0
200270,59.234574,-135.453573,ALASKA,Haines Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200300,58.108798,-135.442182,ALASKA,Hoonah City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,3,0,0.0
