Variable,Winner_Mean,Loser_Mean,Diff,T-stat,P-value
enrollment,6877.58357771261,4136.344393592677,2741.2391841199333,1.8260838244207138,0.06861109571860229
median_income,55814.99703264095,55258.43939393939,556.5576387015608,0.5831351891066036,0.5599971893690339
poverty_rate,0.15928402366863903,0.16115250291036087,-0.0018684792417218432,-0.38572937524230494,0.6998324012652436
pct_white,0.7813994082840237,0.7895296856810243,-0.008130277397000674,-0.5775599518762903,0.5637835372898883
pm25,7.422907354681415,7.39858900285168,0.024318351829735185,0.2387042010971557,0.8114122508504099
priority_r1,1.0,1.0,0.0,,
is_pre_r1_adopter,0.03151862464183381,0.03189066059225513,-0.00037203595042131776,-0.033556294132627416,0.9732413993674388
w6_priority_r1,0.5319567354965584,0.5389988358556461,-0.0070421003590877,-0.45882175710462203,0.6465230450833852
