Variable,Winner_Mean,Loser_Mean,Diff,T-stat,P-value
enrollment,14190.8,13529.852255054433,660.9477449455662,0.05868209323085169,0.9540124086943229
median_income,80226.0,84222.21217105263,-3996.212171052626,-0.5074392405769216,0.6977725364487688
poverty_rate,0.101,0.09594243421052631,0.005057565789473695,0.80187134632329,0.5490286858373679
pct_white,0.353,0.7636990131578948,-0.4106990131578948,-3.534195537488278,0.17413718155959362
pm25,3.926857435,7.79529290910509,-3.8684354741050897,-0.984992239027832,0.5047440178440131
priority_r1,0.0,0.0,0.0,,
is_pre_r1_adopter,0.0,0.14906832298136646,-0.14906832298136646,-10.613309369203527,2.3353605293390506e-24
w6_priority_r1,0.6666666666666666,0.26041666666666663,0.40625,1.218012750341669,0.4372536840738225
