group,districts_n,share_of_total,adoption_rate,mean_enrollment,median_enrollment,mean_income,mean_poverty_rate,mean_pct_white,mean_pm25
all_districts,19495,1.0,0.07878943318799692,2685.4448636412635,702.0,69026.0208237283,0.12174818327851294,0.8212863239039853,7.344859430956338
adopters,1536,0.07878943318799692,1.0,10292.582337317397,2691.5,68874.96549192363,0.13839911958914158,0.7258643187329408,7.5663103626300074
non_adopters,17959,0.9212105668120031,0.0,2013.4394063819802,644.0,69043.67765190525,0.11981007685738682,0.8324501280956448,7.3191337241124454
