source_category,district_count,share_of_active_districts
federal_csbp,1038,0.7263820853743876
other_or_mixed,193,0.1350594821553534
state_program,125,0.08747375787263821
vw_settlement,71,0.0496850944716585
utility_local,2,0.0013995801259622112
