spec,instrument,controls_added,peer_effect,se,pval,stars,F_first,fs_coef,N,n_states
A1. Baseline share instrument (w_IV_Z),w_IV_Z,,0.20089043600132495,0.03348752205903622,1.9858048538878847e-09,***,55572.76787770378,1.05509656008329,13572,50
A2. Count instrument (# winners),n_win_neighbors,,0.2008904360013225,0.033487522059035886,1.9858048538878847e-09,***,55572.767877703736,0.1758494266805481,13572,50
B1. # winners + # applicants control,n_win_neighbors,n_app_neighbors,-0.20427621986903333,0.057002846575591924,0.00033887228808837655,***,21099.51154662352,0.15256468026799452,13572,50
B2. # winners + # losers control,n_win_neighbors,n_loser_neighbors,0.10947555333019876,0.038570723842600185,0.00453535457606935,***,51841.75442868524,0.1699956190301694,13572,50
C1. RF with # winners (no count controls),n_win_neighbors,,0.035325569121832406,0.006248367314129712,1.5715095239048943e-08,***,,,13572,50
C2. RF with # winners + # applicants,n_win_neighbors,n_app_neighbors,-0.031154982071509903,0.008800133560391315,0.0003996949399813294,***,,,13572,50
C3. RF with # winners + # losers,n_win_neighbors,n_loser_neighbors,0.018612756212253986,0.00675785757305461,0.005882875561417992,***,,,13572,50
