outcome,variable,coef,se,pval,stars,N,n_adopt
CSBP R3,w_R1_early,-0.21422727585793055,0.12358897543488574,0.0830272623497811,*,935,51
CSBP R3,w_R1_late,-0.38446350774522686,0.0888325660129032,1.5049898150025936e-05,***,935,51
HVIP,w_R1_early,-0.13785789576946955,0.054834063309961704,0.011933919980368739,**,935,32
HVIP,w_R1_late,-0.15086338019454262,0.0614456880023141,0.014079394095767195,**,935,32
Any State Program,w_R1_early,-0.13785789576946955,0.054834063309961704,0.011933919980368739,**,935,32
Any State Program,w_R1_late,-0.15086338019454262,0.0614456880023141,0.014079394095767195,**,935,32
