k,specification,instrument,spatial_controls,peer_effect,se,pval,f_stat,n
6,A: Original IV,w_geo_z,None,0.0635262851941063,0.021069616388428993,0.0025692329352535737,6460.358616060945,13572
6,B: Residualized IV,w_geo_z_resid,None,0.05106943390884178,0.030236151889101014,0.09121579599864216,1085.4582786784965,13572
6,C: Resid IV + Spatial Controls,w_geo_z_resid,w_geo_applicant + w_geo_priority,0.06919289043867183,0.03469784165859061,0.04613506778772192,1242.3535938955044,13572
6,D: Original IV + Spatial Controls,w_geo_z,w_geo_applicant + w_geo_priority,0.06876907039826996,0.028946971514601533,0.017516106835027134,1449.2127537791368,13572
10,A: Original IV,w_geo_z,None,0.05941365415025768,0.023514835469847443,0.01151576633955731,2843.62484782031,13572
10,B: Residualized IV,w_geo_z_resid,None,0.04319830098529209,0.03544096864277956,0.2228896010929422,698.66002435263,13572
10,C: Resid IV + Spatial Controls,w_geo_z_resid,w_geo_applicant + w_geo_priority,0.06338866278043387,0.043876481238440686,0.1485401823738064,778.3254314758694,13572
10,D: Original IV + Spatial Controls,w_geo_z,w_geo_applicant + w_geo_priority,0.06440130698530577,0.03605713964151481,0.07408464015225458,973.8636066984145,13572
