Model,Coefficient,SE,P-value
Geographic Only,0.04614660520946523,0.038466549025434976,0.23027318143140185
Ortho-Climate Only,0.021937299351675876,0.024644699197240685,0.37338926166089825
Horse Race: Geo,0.04455649924332261,0.03899643698664655,0.2532135429845557
Horse Race: Clim,0.01955428957026617,0.02498998376704179,0.4339295474413678
