specification,k,n,coef_geo,se_geo,pval_geo,coef_clim,se_clim,pval_clim,fstat_geo,fstat_clim,rsquared,rsquared_adj
KNN-4,4,12878,0.022699187181569547,0.02307027349750221,0.32515732838158984,0.35720165116279223,0.02194818617982311,0.0,43000.01777148934,232790.56847076048,0.09269692976017407,0.09206235347542446
KNN-6,6,12878,0.03374870826756837,0.026613125030669683,0.20475413222081107,0.43471801545197597,0.02360121932507639,0.0,35575.107572225614,218003.2252668714,0.10300188397294863,0.10237451506991446
KNN-8,8,12878,0.03714313261848423,0.0306180227980795,0.22508648145160182,0.4929586657114087,0.023919308332905988,0.0,37779.35064336777,263914.6027239344,0.11151102314170847,0.11088960561048955
KNN-10,10,12878,0.042406926318424576,0.03330787589398583,0.20295412384281475,0.5346464885884195,0.02383802502172782,0.0,33921.791177505795,290471.6548911163,0.11852464320504741,0.1179081310655421
KNN-12,12,12878,0.048684232401075445,0.03558494737248847,0.17127667912550004,0.5693873411893748,0.02363743627689503,0.0,33913.69511277058,330927.4656581157,0.12429082406420022,0.12367834484571849
KNN-15,15,12878,0.037675366616986894,0.03862016242402191,0.3292943526340164,0.608516946646888,0.02315965795011293,0.0,33679.154899486115,358134.2123820038,0.12934257094457613,0.1287336249652865
KNN-20,20,12878,0.04967954596902979,0.043054925754028917,0.2485557674107417,0.6574192354068019,0.022193187827401165,0.0,32896.57039348654,431112.35237848683,0.13708991251571545,0.13648638509984978
