spec,outcome,endogenous_peer_var,controls_added,coef,se,pval,stars,F_first,N,n_states,outcome_mean
A1. First-ever window baseline,new_first_window,w_new_first,,0.3184533429586387,0.05750313557884891,3.05915557330394e-08,***,1839.6070005918398,13572,50,0.04885057471264368
A2. First-ever + w_loser,new_first_window,w_new_first,w_loser,0.30488517206275434,0.06298863076675788,1.29629780176721e-06,***,1569.4526695678637,13572,50,0.04885057471264368
B1. Any-event window baseline,new_any_window,w_new_any,,0.3809987387274103,0.06039524653832969,2.8189361955810455e-10,***,2045.7789072787746,13572,50,0.05938697318007663
B2. Any-event + w_loser,new_any_window,w_new_any,w_loser,0.3789531495936336,0.06796023016758189,2.4596827463696513e-08,***,1721.336986916916,13572,50,0.05938697318007663
C1. RF first-ever baseline,new_first_window,RF,,0.10935058967822145,0.029192839768009692,0.0001798185738264838,***,,13572,50,0.04885057471264368
C2. RF first-ever + w_loser,new_first_window,RF,w_loser,0.09979838717039585,0.029325067387082786,0.0006660717973099306,***,,13572,50,0.04885057471264368
D1. RF any-event baseline,new_any_window,RF,,0.14912982365971586,0.03607755080236415,3.571394685345795e-05,***,,13572,50,0.05938697318007663
D2. RF any-event + w_loser,new_any_window,RF,w_loser,0.14031717000262123,0.03713602642119544,0.000157798128364574,***,,13572,50,0.05938697318007663
