Model,Peer_Effect,SE,P_value,N
Baseline,0.1921311136561339,0.03366988151102915,1.1544496025805984e-08,13572
With CSB Applied,0.13480932227972886,0.036861801025632815,0.00025503011238248163,13572
With Rejected/Waitlisted,0.12492561065109098,0.035402148204271976,0.0004175148795240169,13572
