specification,sample,n_obs,n_states,n_adopters,adoption_rate,r_squared,w_geo_coef,w_geo_se,w_geo_pval,f_stat_geo,w_clim_coef,w_clim_se,w_clim_pval,f_stat_clim,k
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199075755859491,0.006164174911531456,0.010294901467507122,0.5493329586614246,54416.64255682839,-0.010194828557260616,0.004573937723194056,0.02582086808436035,199204.171845489,4
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200685426108903,0.02038337376523619,0.015041525239658784,0.1753729300755602,22149.06991020825,-0.017018845566075358,0.004477142325734608,0.00014395389483556897,255293.50102787022,6
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199020524558855,0.008698421674587065,0.015123633031477606,0.5651869870276907,15965.990346820388,-0.017406244139856253,0.004847649807471949,0.00032984640677891086,240818.0324157346,8
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.8199775291169272,0.017900836952034038,0.01759152869950287,0.3088762668522216,11764.755086406647,-0.019761046359653034,0.004970547649783242,7.019389855389413e-05,219394.82716459304,10
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200346989469908,0.023952856043576887,0.01815649190364511,0.18708731275101664,11251.245463357229,-0.021885587581488397,0.005212025765709521,2.6803014378407042e-05,194571.85706210753,12
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8200504000318375,0.02582494540601854,0.020450374114226674,0.20665732115214874,7600.151887422499,-0.022188693206992127,0.005129456085438158,1.5202067062736191e-05,236862.3789053968,15
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.819995130505699,0.01921188755341907,0.022902950818974355,0.4015596820419445,3238.9792180993313,-0.024277334568877817,0.005250288743168661,3.7641006458422055e-06,226716.44381962385,20
