test,K,coef,se,pval,stars,N,F_first
RF: w_R1_early → R3_win,6,-0.019529239128537754,0.03567467805925345,0.5840862351637184,,12833,
RF: w_R1_late → R3_win,6,-0.09681913793611226,0.03573979732341372,0.006748618616484467,***,12833,
RF: w_R1_early (joint),6,-0.02157425499768716,0.03568178849964949,0.5454253302889573,,12833,
RF: w_R1_late (joint),6,-0.09740564614387681,0.03574126635858704,0.006424323213177503,***,12833,
IV: w_R1_early instrument,6,-0.4293241728875614,0.8426161907917316,0.6103924641761223,,12833,4.028439923573901
IV: w_R1_late instrument,6,2.521975934219711,1.5177693910063628,0.09658635236066271,*,12833,3.3292463175902416
