Model,Peer_Effect,SE,P_value,N
Baseline (State FE),0.1921311136561339,0.03366988151102915,1.1544496025805984e-08,13572
Enhanced (No FE),0.22288349978603073,0.03362511061907611,3.391531500085421e-11,13572
Enhanced + State FE,,,,13572
