covariate,w_geo_z_coef,w_geo_z_se,w_geo_z_pval,pval_bonferroni,significant_5pct,n
median_income,2515.2396998267113,4905.316072768865,0.6081206637093992,1.0,No,13789
poverty_rate,0.01062523242449112,0.010758800929198805,0.3233558439976273,1.0,No,13789
enrollment,14181.387971571152,3885.5082912160265,0.0002624288429924828,0.002099430743939862,Yes,13789
pm25,1.0528098500742593,0.3742080654781876,0.004901538361108621,0.03921230688886897,Yes,13789
pct_white,-0.09565481870000503,0.027958219069772847,0.000623113661701615,0.00498490929361292,Yes,13789
pct_black,0.06212119345924079,0.015620894882031233,6.984851220410327e-05,0.0005587880976328261,Yes,13789
pct_hispanic,0.05451721504069364,0.02623177153946797,0.03768270407195592,0.30146163257564734,No,13789
is_priority,0.4701703544383531,0.05631672330427355,6.902953324129249e-17,5.522362659303399e-16,Yes,13789
