test,method,coef,se,pval,stars,N
R1_neighbor → R3_application,OLS,-0.06544562627167448,0.029957054054530686,0.02891464591549342,**,12833
R1_early_neighbor → R3_win,OLS,-0.02157425499768716,0.03568178849964949,0.5454253302889573,,12833
R1_late_neighbor → R3_win,OLS,-0.09740564614387681,0.03574126635858704,0.006424323213177503,***,12833
R1_neighbor → CSBP_adoption,OLS_RF,-0.01613034216518351,0.028653046988278818,0.5734663324976073,,12833
R1_neighbor → VW_Settlement_adoption,OLS_RF,-0.0028839530718930504,0.00098082779341203,0.0032786751208261087,***,12833
R1_neighbor → State_Program_adoption,OLS_RF,-0.007908936693673353,0.002948216099168644,0.0073048441820162905,***,12833
R1_neighbor → Other_adoption,OLS_RF,-0.0025412198202992655,0.0052197797879358285,0.6263687033096208,,12833
