K,Peer_Effect,SE,P_value,F_first,Outcome,Instrument,Contemporaneous_ref
4,1.2440112745887575,0.3628578712784719,0.0006072158260777005,35.39993567418357,IS_R3_ADOPTER,w_IV_Z_R1,0.1921
6,1.3427939254098362,0.5054011951194121,0.007886584530832241,34.552722685326444,IS_R3_ADOPTER,w_IV_Z_R1,0.1921
8,1.2653203071930932,0.40501975930386486,0.0017835270968271644,47.56674267815412,IS_R3_ADOPTER,w_IV_Z_R1,0.1921
10,1.3256949577110788,0.3476777531198341,0.00013729061594314196,51.3759925316113,IS_R3_ADOPTER,w_IV_Z_R1,0.1921
