k,type,coef,se,pval,n
6,True,0.06688783933491292,0.023211229144040533,0.00395533945842759,13572
6,Placebo (Non-Neighbor),-0.015845620399386494,0.007871632579375192,0.04411430837475016,13572
10,True,0.06342597963863475,0.026470843177344376,0.016571948315821927,13572
10,Placebo (Non-Neighbor),0.009461309617470999,0.016855617924388645,0.5745828806992814,13572
