Model,Sample,N,Peer_Effect,SE,P_value
Baseline,Applicants only,3102,-0.30939783333886695,0.0779057911188809,7.14408101234465e-05
K=4,Applicants only,3102,-0.29826748765377875,0.0584303618699394,3.313790932768512e-07
K=6,Applicants only,3102,-0.30939783333886695,0.0779057911188809,7.14408101234465e-05
K=8,Applicants only,3102,-0.3603613779735042,0.08625807919610573,2.9445668612737563e-05
K=10,Applicants only,3102,-0.39039417688032607,0.10447942499009136,0.000186551140508584
Baseline (FULL SAMPLE ref),Full sample (Script 11),13572,0.1921,0.0337,0.0
