spec,peer_effect,se,pval,stars,n_clusters,N,type
"IV-2SLS, state clusters",0.20089043600132495,0.03348752205903622,1.9858048538878847e-09,***,50.0,13572,2SLS
"IV-2SLS, county clusters",0.20089043600132495,0.023615242854448215,0.0,***,2913.0,13572,2SLS
"IV-2SLS, HC robust",0.20089043600132495,0.020909298854805032,0.0,***,,13572,2SLS
"IV-2SLS, Conley 100km",0.20089043600132528,0.0240701605085201,0.0,***,,13572,2SLS-Conley
"IV-2SLS, Conley 200km",0.20089043600132528,0.025110287751086938,1.3322676295501878e-15,***,,13572,2SLS-Conley
"IV-2SLS, Conley 500km",0.20089043600132528,0.027129251394980014,1.312283615106935e-13,***,,13572,2SLS-Conley
"Reduced form, state clusters",0.21195880797862943,0.03746673525245592,1.538147630806676e-08,***,50.0,13572,RF
"Reduced form, county clusters",0.21195880797862943,0.02566217471471869,1.4618483387762742e-16,***,2913.0,13572,RF
