specification,sample,n_obs,n_states,n_adopters,adoption_rate,r_squared,w_clim_coef,w_clim_se,w_clim_pval,f_stat_clim,k
KNN-4,Climate-Restricted,12712,48,873,0.06867526746381372,0.819825689763738,-0.009803779137872212,0.0048021357268902345,0.04119662466792584,182145.47856301497,4
KNN-6,Climate-Restricted,12712,48,873,0.06867526746381372,0.819815617109533,-0.015509478224267459,0.004818350579387632,0.0012871227057922319,239706.4772329798,6
KNN-8,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198181823408811,-0.016763940157110996,0.0052366651887951815,0.0013682679597446512,234987.572012101,8
KNN-10,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198186092563962,-0.018475329289971143,0.005348005971870047,0.0005510685770144796,209271.7321573103,10
KNN-12,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198252566077445,-0.020208180696229844,0.005390832246398372,0.00017781037220210294,194250.57590247082,12
KNN-15,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198338828722243,-0.02040559775749226,0.005393200884586661,0.00015458967004788882,237482.9025006525,15
KNN-20,Climate-Restricted,12712,48,873,0.06867526746381372,0.8198485199824966,-0.02306929537802266,0.005457505500934866,2.367467854313965e-05,223965.04115446314,20
