nces_id,state,urbanicity,enrollment,median_income,poverty_rate,pct_white,pm25,priority_r1,priority_r23,r1_fuel_group,is_r1_third_party,IV_Z_R1,is_r3_third_party,IV_Z_R3,IS_R2_GRANTEE,is_r1_loser_third_party,IS_R1_LOSER,is_r3_loser_third_party,IS_R3_LOSER,IV_Z,IS_ADOPTER,IS_ADOPTER_CSBP_ANY,IS_LOSER_R1_only,IS_LOSER_R3_only,IS_LOSER_pooled,Y_R3_apply,wri_any_2023,wri_any_2024,wri_any_2023_24,wri_awarded_by_2023,wri_awarded_by_2024,wri_delivered_by_2023q3,wri_operating_by_2023q3,wri_visible_by_2023q3,wri_post_ann_2022,is_pre_r1_adopter,wri_first_oem,wri_first_dealer,year_first_awarded,year_first_operating,year_first_delivered,wri_post_r1_cum,r1_first_delivery_year,r1_first_delivery_q_index,r1_first_operating_year,r1_first_operating_q_index,r1_early_delivery,r1_late_or_unknown,r1_pre_r3_delivery,r1_post_r3_delivery,r1_delivery_unknown,r1_pre_r3_operating,r1_post_r3_operating,r1_operating_unknown,pct_dem_2020
0100185,ALABAMA,Suburban,3354.0,61216.0,0.078,0.7929999999999999,9.256670003,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100188,ALABAMA,Suburban,2654.0,36196.0,0.342,0.473,9.346125739,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100189,ALABAMA,Suburban,1502.0,88312.0,0.048,0.893,9.252448381,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100190,ALABAMA,Suburban,6425.0,83181.0,0.067,0.716,9.990708927,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.28941278816876903
0100194,ALABAMA,Suburban,3425.0,81606.0,0.0409999999999999,0.77,10.10344013,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.28941278816876903
0100195,ALABAMA,Rural,2695.0,109537.0,0.0559999999999999,0.616,9.542371308,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.6508941990538537
0100197,ALABAMA,Urban,648.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.43389530693804457
0100199,ALABAMA,Rural,660.0,,,,,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.7388332538547131
0100201,ALABAMA,Urban,404.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
2900017,MISSOURI,Urban,1291.0,,,,,0,0,nonapp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,,,2023.0,,,1,,,,,,,,,,,,,0.4693154395218361
0100203,ALABAMA,Urban,711.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.6508941990538537
0100204,ALABAMA,Urban,625.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
0100207,ALABAMA,Urban,305.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.6508941990538537
0100208,ALABAMA,Rural,282.0,,,,,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.7380497131931166
0100210,ALABAMA,Urban,9492.0,54700.0,0.252,0.7020000000000001,9.520264684,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.38992848045459
0100211,ALABAMA,Suburban,338.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
