nces_id,state,precip,tmin,precip_state_resid,tmin_state_resid,precip_state_z,tmin_state_z,hdd_proxy,cdd_proxy,hdd_proxy_state_resid,cdd_proxy_state_resid,climate_anomaly
4500690,SC,106.179,-0.0802,5.999513462365599,-0.7589505252688171,0.5232221650867974,-0.5562548641850258,3254.436,0.0,136.61109454838697,0.0,0.7636628234814219
2800360,MS,129.64189,0.1819,-10.641144577464814,-1.5038288500774648,-0.8799251473895687,-0.799119056467348,3207.2580000000003,0.0,270.6891930139441,0.0,1.1886376787809727
1700105,IL,52.7789,-7.7826,-4.928175043526785,0.15126335591517837,-0.39104920142136246,0.08049404245368517,4640.868,0.0,-27.227404064731672,0.0,0.3992477536603318
0100006,AL,132.26889,-0.2022,-3.4116444666666723,-1.0812586513933333,-0.48750054378618485,-0.722978614368357,3276.396,0.0,194.62655725080003,0.0,0.8719832894189058
0100007,AL,133.694,0.9414,-1.9865344666666829,0.062341348606666735,-0.2838621205146303,0.04168425545120268,3070.548,0.0,-11.221442749200378,0.0,0.2869063969582826
0100008,AL,135.86389,-0.4271,0.18335553333332655,-1.3061586513933332,0.0262002453888569,-0.8733569629364043,3316.8779999999997,0.0,235.10855725079955,0.0,0.8737498712835019
0100011,AL,134.207,0.79999995,-1.4735344666666776,-0.07905870139333326,-0.21055794670467226,-0.052862236351551094,3096.000009,0.0,14.230566250799711,0.0,0.2170922959309585
0100012,AL,133.9989,-0.042,-1.6816344666666794,-0.9210586513933333,-0.2402940062950275,-0.6158616226360262,3247.5600000000004,0.0,165.79055725080025,0.0,0.6610799858543547
0100013,AL,134.8089,1.0476,-0.8716344666666771,0.1685413486066668,-0.12455057396351565,0.11269439603780403,3051.4320000000002,0.0,-30.33744274919991,0.0,0.16796687879747782
0100030,AL,137.929,0.9156,2.2484655333333308,0.03654134860666669,0.32129026951494116,0.02443320434824302,3075.1919999999996,0.0,-6.5774427492006,0.0,0.3222179677791208
0100060,AL,137.097,2.9981,1.4164655333333371,2.119041348606667,0.20240318840405616,1.4168872323293842,2700.3419999999996,0.0,-381.4274427492005,0.0,1.4312709316597434
0100090,AL,133.8519,-0.52239996,-1.8286344666666707,-1.4014586113933332,-0.2612992958663006,-0.9370788420088852,3334.0319928000004,0.0,252.2625500508002,0.0,0.9728278769448055
0100100,AL,138.83589,-0.044099998,3.155355533333335,-0.9231586493933333,0.45087861685707076,-0.6172657766210693,3247.93799964,0.0,166.16855689079966,0.0,0.764400788936378
0100120,AL,137.6129,-0.5485,1.932365533333325,-1.4275586513933334,0.27612175228038377,-0.954530513475137,3338.73,0.0,256.96055725079987,0.0,0.9936658005775877
0100180,AL,136.3929,-0.4337,0.7123655333333261,-1.3127586513933331,0.10179213815144067,-0.8777700225208823,3318.0660000000003,0.0,236.2965572508001,0.0,0.8836525628468195
