ncessch,precip_mm,tmin_c,is_charter
3015120,15.2609,-11.0557995,0
3027840,13.3989,-8.3378,0
3005040,8.967899,-16.1632,0
3020100,21.503899,-8.7143,0
3003840,88.6419,-7.7293,0
3016770,90.1729,-8.9749,0
3026580,96.550896,-7.6798997,0
3006330,13.031,-10.095099,0
3010170,8.788899,-9.3125,0
3021540,9.038,-9.5267,0
3018540,175.1019,-9.7571,0
3013340,16.6849,-11.4962,0
3013360,16.3179,-9.138599,0
3017040,14.795,-11.631,0
3026100,169.4299,-7.8852,0
3005610,10.1319,-12.742399,0
3025560,16.246899,-8.0306,0
3003090,29.8849,-11.8491,0
3007860,9.1539,-15.476899,0
3011580,8.701,-16.9384,0
3021270,9.1609,-15.8951,0
3010530,16.503,-10.2741995,0
3019500,107.6409,-5.0,0
3007140,226.12689,-10.748,0
3015420,42.6229,-9.6949,0
3027790,53.819,-9.6328,0
3016020,8.743,-14.4653,0
3023550,8.1869,-14.6809,0
3024230,8.6799,-14.4161,0
3000933,16.8459,-9.8154,0
3003330,12.9079,-10.2128,0
3004590,21.8899,-9.4397,0
3017640,13.0439,-10.09,0
3026190,11.1549,-9.8565,0
3028170,11.0949,-9.089499,0
3013400,12.6489,-12.9074,0
3006270,12.387,-14.163,0
3026670,9.05,-15.0529995,0
3005310,15.691899,-12.9653,0
3004860,11.972899,-11.2269,0
3023400,8.5729,-16.4727,0
3007930,11.2539,-12.806999,0
3016230,12.889899,-10.0457,0
3023970,12.229899,-9.7986,0
3006810,8.630899,-13.948299,0
3010290,8.9289,-15.5492,0
3011880,9.3959,-12.7459,0
3003450,23.076,-9.671,0
3005910,15.026899,-8.4503,0
3013050,13.847899,-9.0522995,0
3024330,9.8,-9.5261,0
3025140,17.5219,-9.2739,0
3023910,10.564899,-13.321099,0
3012990,16.5989,-10.2357,0
3008850,13.0229,-10.5254,0
3018900,21.6689,-10.5808,0
3015390,14.811899,-10.4573,0
3028620,9.849899,-16.2076,0
3002030,53.1049,-11.1194,0
3021450,34.6209,-11.4141,0
3001740,23.444899,-8.7663,0
3004920,11.401,-9.807899,0
3007200,15.290899,-10.5942,0
3020070,12.856899,-9.8267,0
3021900,11.500899,-9.4559,0
3022260,13.696899,-9.2404995,0
3002450,17.6749,-10.0706,0
3013830,13.620899,-8.9124,0
3002250,44.611,-8.6103,0
3006115,22.711899,-6.2493,0
3021090,35.7509,-6.9484,0
3022800,30.399899,-6.3353,0
3007320,10.0,-12.0123,0
3027090,8.571,-11.0724,0
3007080,15.8769,-10.6697,0
3011190,11.2519,-12.546499,0
3000095,19.1709,-9.1722,0
3018270,12.9809,-10.7683,0
3000097,8.5178995,-14.2602,0
3004500,11.118,-14.1208,0
3011460,10.083,-15.917899,0
3014370,11.835,-16.2187,0
3009210,29.7209,-10.151199,0
3011850,70.289,-12.955199,0
3024180,11.4788,-10.212299,0
3015260,14.1159,-9.5844,0
3022110,33.2109,-12.1255,0
3005190,52.2328,-9.3633995,0
3008190,9.9739,-11.5408,0
3023070,10.0889,-9.962299,0
4103630,37.7059,-5.3413,0
0400004,41.117,1.4018999,0
0400005,19.062,2.9787,0
0400022,59.0229,-6.9407,0
0400480,26.256899,2.3014998,0
0400600,25.1309,5.9491,0
0400630,51.5879,-9.0845995,0
0400750,37.5369,-1.8377,0
0400840,20.643799,3.9592998,0
0400870,23.8249,-1.1272,0
0400960,22.305,5.3097,0
0401050,24.9159,5.9895,0
0401080,47.5389,-1.1144,0
0401380,20.9079,4.7118,0
0401500,26.9079,5.1953,0
0401650,51.2929,3.0428,0
0401680,25.045898,5.8055,0
0402130,28.638899,-0.4723,0
0402190,30.503899,-6.1324,0
0402220,34.8919,1.9925,0
0402250,22.1619,2.1064,0
0402370,36.4869,-1.4513999,0
0402430,23.878899,6.1022,0
0402430,23.878899,6.1022,0
0402460,89.29,-0.5636,0
0402490,17.371,-1.3385,0
0402760,19.2649,-1.1567,0
0403060,24.822899,5.6937,0
0403420,25.2129,5.8617997,0
0403660,31.215,-2.4716,0
0403960,24.274899,5.8777,0
0404170,51.8729,-1.9435999,0
0404230,22.6899,5.2511,0
0404290,22.666899,5.71,0
0404290,22.666899,5.71,0
0404530,61.2509,-8.2052,0
0401230,39.261898,-2.2611,0
0401260,37.0649,0.0876,0
0401290,18.4879,3.4534998,0
0401710,22.541899,3.398,0
0402790,25.2699,3.3285,0
0402400,10.7789,6.5997,0
0403240,10.387,6.2356,0
0403900,16.593,4.6626,0
0404320,21.7589,5.085,0
0404380,24.722898,5.4245996,0
0404440,23.640799,5.0741,0
0404500,24.6299,6.105,0
0404500,24.6299,6.105,0
0404770,14.995899,1.699,0
0404860,86.555,-8.377399,0
0404920,18.4139,-1.1254,0
0405190,25.392,4.6033,0
0405220,15.9169,4.4196,0
0405340,35.5359,4.0590997,0
0405430,18.7629,-0.1831,0
0405640,45.324898,1.8520999,0
0405730,38.7299,2.8436,0
0405760,59.6629,3.3744998,0
0405880,20.2449,-0.4605,0
0406150,25.833899,-0.7177,0
0406300,23.267,6.0590997,0
0405400,23.3899,5.8915,0
0405670,24.0299,6.1435,0
0405850,20.9039,4.5288,0
0406210,25.399899,5.5292,0
0406000,31.6449,-0.0023,0
0406510,64.8219,-1.1856999,0
0406630,19.8459,0.0328,0
0406780,19.666899,3.7802,0
0406900,26.4289,3.8602998,0
0407020,23.6148,5.8055,0
0407080,22.8449,5.8817,0
0407200,22.0949,4.1268,0
0407500,26.444,0.17189999,0
0407680,17.3199,4.4326997,0
0407770,52.5999,-2.6101,0
0407860,22.5919,-0.5582,0
0407890,10.3839,6.4684997,0
0407920,31.1859,-0.91709995,0
0408130,24.67,3.8111,0
0408310,25.826,6.0112996,0
0408430,17.718899,4.2834,0
0408460,46.2579,0.1393,0
0408490,25.5409,5.5822,0
0408550,23.1689,3.1791,0
0408640,23.027899,5.4449,0
0408820,23.6329,5.2602,0
0408880,26.767,-2.2029,0
0409060,25.8759,6.0004,0
0409090,21.677,2.935,0
0409120,22.215,1.9739,0
0409390,23.784899,5.9923,0
0409510,52.3929,0.449,0
0409570,28.0549,2.4656,0
0409600,13.9219,3.4513,0
0409540,83.5029,-3.0514,0
0406360,27.5199,3.786,0
0639210,218.36789,-9.1342,0
0632430,42.2789,3.3330998,0
0639300,43.7729,2.8602998,0
0636360,64.552,3.6727998,0
0619740,58.541897,3.276,0
0638430,51.5639,3.0051,0
0639870,47.617,2.9872,0
0638130,62.902897,3.3866,0
0638040,56.9119,3.1947,0
0607410,119.022896,3.5702,0
0620610,112.593895,3.5612998,0
0630870,119.6389,3.5642,0
0625980,157.0309,3.5095,0
0632310,141.3909,3.3142998,0
0615450,141.06279,3.5216,0
0636810,331.6979,-1.4235,0
0606270,144.7729,3.2050998,0
0630780,169.3719,3.2128,0
0631290,251.86789,0.2342,0
0615390,179.1638,3.4124,0
0621180,130.121,3.5342,0
0630480,238.7049,2.0837998,0
0618240,243.96489,0.4199,0
0607170,237.99089,2.3739,0
0600006,196.6129,5.2448,0
0605520,141.65489,6.1036997,0
0611220,211.53789,5.1352,0
0619380,241.3969,5.9853997,0
0620430,213.8519,4.834,0
0620520,214.5479,5.6254,0
0620910,186.43889,6.2023,0
0624870,183.90779,5.914,0
0627300,182.9559,5.1133,0
0611760,38.1049,2.845,0
0630630,41.2238,2.8213,0
0611550,47.7049,3.4814,0
0609510,38.4059,3.047,0
0643170,50.1539,2.9779,0
0639060,50.789898,3.5504,0
0629160,52.4179,3.1283998,0
0637770,198.694,-4.5267,0
0633270,51.3019,3.1245,0
0617640,161.9099,-5.4203,0
0601427,177.7059,3.1764998,0
0601420,175.4599,5.4049,0
0626130,64.527,5.045,0
0623970,141.3958,2.8831,0
0640680,260.7879,-0.114999995,0
0632160,146.3889,6.3564,0
0633660,207.4169,5.3515,0
0635090,190.677,5.8949,0
0636000,178.6929,6.4508,0
0612090,88.2369,8.373799,0
0614940,91.3369,8.267,0
0617040,71.5179,9.8818,0
0633570,88.7429,8.397699,0
0621210,74.6439,9.4369,0
0602100,87.04,4.4284,0
0606810,66.758896,7.3845,0
0606810,66.758896,7.3845,0
0607470,60.0309,7.8241,0
0608610,56.268898,7.4672,0
0610710,67.3809,6.4726,0
0610740,59.5999,8.9375,0
0612750,62.033897,7.4175,0
0612880,76.4339,6.1668997,0
0613500,83.361,9.3435,0
0618730,79.1819,5.3231,0
0619140,82.9049,3.8995,0
0620250,61.5989,7.7783,0
0620790,73.705,4.6991,0
0621330,58.7859,8.066299,0
0626670,45.1329,8.9155,0
0631740,68.8408,7.4171,0
0635040,69.648895,5.5515,0
0635220,54.192898,7.756,0
0635880,66.5699,7.0646996,0
0633390,55.25,4.0341997,0
0627780,54.812,4.4741,0
0624540,58.0869,4.1531,0
0630180,62.143898,5.1012,0
0611850,78.855896,8.2228,0
0623010,86.1399,8.2185,0
0637560,77.6469,8.2953,0
0622890,78.9589,8.3393,0
0642450,82.2819,8.8137,0
0621930,78.539,8.2825,0
0616680,76.263,9.4869995,0
0626190,86.3969,8.2525,0
0640650,84.8288,8.3849,0
0611910,27.361,-0.275,0
0627180,102.689896,6.9730997,0
0619440,31.7659,1.4226999,0
0635970,94.361,5.842,0
0638220,98.277,5.9175,0
0629580,35.1329,1.0081,0
0642120,56.618,1.4713999,0
0642810,24.6619,0.1502,0
0617880,116.6039,4.3817,0
0626340,217.2489,-0.2726,0
0633690,29.958899,-4.6584,0
0618780,51.3589,-5.328,0
0619050,85.4359,-5.8810997,0
0604200,111.037895,7.3564,0
0604530,99.0499,5.8782,0
0606060,127.385895,7.0765,0
0606480,114.2009,6.7019,0
0617190,124.939896,6.4702997,0
0618870,123.355896,7.3448997,0
0620460,144.67189,7.1117,0
0622380,118.705894,5.3339996,0
0624570,86.206,5.6387,0
0624900,175.1679,6.3666,0
0631470,143.25279,5.6064,0
0631860,80.8779,5.7437,0
0632130,101.258896,5.7911,0
0634230,110.5839,6.9189,0
0634290,103.027,5.8108,0
0603270,49.9689,3.5095,0
0603630,34.339,4.512,0
0604260,36.742,3.6829998,0
0605250,59.067898,3.2189999,0
0606390,32.423,3.2897,0
0606720,29.823898,3.1230998,0
0606960,63.597,2.6202998,0
0610890,46.437,3.4861999,0
0611130,34.3639,3.5895,0
0611940,34.201,4.0829,0
0612360,31.0709,3.1891,0
0631830,32.4909,-7.4135,0
0632520,101.8689,-6.2735,0
0636420,38.235,-6.6505,0
0638550,79.9469,-6.1022997,0
0618840,61.0509,5.2588,0
0626970,90.2279,3.7519999,0
0627030,50.513,4.0018,0
0627930,90.6749,3.7802,0
0640800,77.0638,3.6257,0
0614790,90.9739,3.836,0
0634920,111.538895,5.9038,0
0643140,153.43689,5.7416,0
0613290,33.019,3.5727,0
0614700,33.0318,3.4322999,0
0615000,32.755,3.6562,0
0616050,31.7969,3.4972,0
0619590,58.498898,2.0097,0
0620730,31.2659,3.5246,0
0620850,32.2579,3.5597,0
0621450,33.943,3.2437,0
0622950,33.2579,2.7122,0
0623760,33.486,2.9965,0
0624330,37.1969,3.6848,0
0602370,53.4839,3.2268999,1
