nces_id,is_charter
4500690,0
2800360,0
100002,0
1700105,0
100006,0
100007,0
100008,0
100009,0
100010,0
100011,0
100012,0
100013,0
100018,0
100030,0
100060,0
100090,0
100100,0
100120,0
100176,0
100180,0
100185,0
100188,0
100189,0
100190,0
100194,0
100195,0
100197,1
100199,1
100201,1
2900017,1
100203,1
100204,1
100207,1
100208,1
100210,0
100211,1
100212,0
100213,1
100240,0
100270,0
100300,0
100330,0
100360,0
2501710,0
100420,0
100450,0
100480,0
100510,0
100540,0
100600,0
100630,0
100660,0
100690,0
100720,0
806900,0
100780,0
100810,0
100840,0
100870,0
100900,0
100930,0
100960,0
100990,0
101020,0
101050,0
101080,0
101110,0
101140,0
101170,0
101200,0
101230,0
101260,0
101290,0
101320,0
101350,0
101380,0
101410,0
3906190,0
101470,0
101530,0
601710,0
101590,0
101620,0
101640,0
101660,0
101680,0
101690,0
101710,0
101720,0
101730,0
101740,0
101760,0
101770,0
101800,0
101830,0
101860,0
2500085,1
101920,0
101950,0
2902910,0
102010,0
102040,0
102070,0
102100,0
102130,0
102160,0
102190,0
102220,0
102250,0
102310,0
102350,0
102370,0
102400,0
400450,0
102480,0
102490,0
102520,0
102550,0
102580,0
102610,0
102635,0
102640,0
102650,0
102670,0
102700,0
102730,0
102760,0
102790,0
102820,0
102850,0
102880,0
102910,0
102940,0
1903220,0
103000,0
103030,0
103062,0
103090,0
103120,0
103150,0
103180,0
103210,0
103240,0
103270,0
103300,0
103330,0
103360,0
103390,0
601770,0
103430,0
103450,0
103480,0
103510,0
103540,0
103580,0
103581,0
103582,1
103583,1
103584,1
200001,0
200003,0
200004,0
200005,0
200006,0
200007,0
200010,0
200020,0
200030,0
200050,0
200060,0
200070,0
200090,0
200100,0
200120,0
200130,0
200150,0
200180,0
200210,0
200240,0
200270,0
200300,0
200330,0
200360,0
200390,0
200450,0
200480,0
200485,0
200510,0
200520,0
200525,0
200540,0
200570,0
200600,0
200610,0
200625,0
200630,0
200660,0
200670,0
200680,0
200690,0
200700,0
