0a. Has committed ESBs?,1a. State,1b. Local Education Agency (LEA) or entity name,1c. LEA ID,1d. Street address 1,1e. Street address 2,1f. City,1g. State,1h. ZIP code,1i. Website,1j. Has LEA ID?,1k. LEA type (number),1l. LEA type (name),1m. Supervisory union LEA ID,1n. Locale (full number),1o. Locale broad type (number),1p. Locale broad type (name),1q. Census Region,1r. Census Division,1s. Latitude,1t. Longitude ,2a. Total number of buses,2b. Contractor used for some or all of buses?,3a. Number of ESBs committed ,3b. Number of delivered or operating ESBs,3c. Number of ESBs awarded,3d. Number of ESBs ordered,3e. Number of ESBs delivered,3f. Number of ESBs operating,3g. Number of batches,3h. Size of batch 1,3h. Size of batch 2,3h. Size of batch 3,3h. Size of batch 4,3h. Size of batch 5,3i. Percent of fleet that is electric,3j. Government agency involved (non-funding),3k. Utility/energy company involved 1,3k. Utility/energy company involved 2,3k. Utility/energy company involved 3,3l. Other groups involved 1,3l. Other groups involved 2,3l. Other groups involved 3,3m. Other notes,4a. Tribal school district?,4b. Number of students in district,4c. Number of schools in district,4d. Percentage of schools in district that are Title I schoolwide eligible,4e. Percentage of students in district eligible for free or reduced price lunch,4f. Median household income,4g. Percent of population below the poverty level,4h. Percent one race: White ,4i. Percent race alone or multiracial: White,4j. Percent one race: Black or African American ,4k. Percent race alone or multiracial: Black or African American,4l. Percent one race: American Indian and Alaska Native ,4m. Percent race alone or multiracial: American Indian and Alaska Native,4n. Percent one race: Asian ,4o. Percent race alone or multiracial: Asian,4p. Percent one race: Native Hawaiian and Other Pacific Islander ,4q. Percent race alone or multiracial: Native Hawaiian and Other Pacific Islander,4r. Percent one race: some other race ,4s. Percent race alone or multiracial: Some other race,4t. Percent two or more races,4u. Percent Hispanic or Latino (of any race) ,5a. EPA Region,5b. Percent non-white and/or Hispanic,5c. Quartile: percent non-white and/or Hispanic,5d. Percent low-income (200% of federal poverty level),5e. Quartile: percent low-income,5f. PM2.5 concentration,5g. Quartile: PM2.5 concentration,5h. Ozone concentration,5i. Quartile: ozone concentration,5j. Percent of school children with a disability,5k. Quartile: percent of school children with a disability,5l. Average rate of asthma among adults aged 18 and older,5m. Quartile: average rate of asthma,5n. Qualified for American Rescue Plan funding? ,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,5p. EPA 2023 Clean School Bus Grant & Rebate Programs prioritized school district?,5q. WRI Priority Outreach District (POD)?,6a. Has any expression of interest in ESBs?,6b. ARP 2021 waitlist position,6c. DERA school bus rebates 2020 waitlist position,6d. DERA school bus rebates 2021 waitlist position,6e. Applied for ESB funding but not awarded
no,ARKANSAS,ROSE BUD SCHOOL DISTRICT,512000,124 SCHOOL RD,,ROSE BUD,AR,72137.0,http://rbsd.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.334669,-92.071599,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,752.0,2.0,1.0,0.5372340425531915,45946.0,0.182,0.948,0.978,0.0,0.002,0.01,2e-05,0.011000000000000001,0.011000000000000001,0.0,0.0,0.001,0.015,0.028999999999999998,0.042,6.0,0.076351097,1.0,0.422436554,4.0,8.853746135,4.0,56.5192251,2.0,0.042,2.0,0.101634541526644,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,RUSSELLVILLE SCHOOL DISTRICT,512060,220 W 10TH ST,,RUSSELLVILLE,AR,72801.0,http://rsdweb.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,33.0,3,Town,South,West South Central,35.26999,-93.136101,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5602.0,10.0,1.0,0.5074973223848626,46801.0,0.179,0.8420000000000001,0.895,0.03,0.05,0.008,0.0005,0.018000000000000002,0.023,0.0,0.001,0.047,0.063,0.055,0.13,6.0,0.185477634,3.0,0.408097559,4.0,9.033536697,4.0,56.67127585,2.0,0.064,3.0,0.10082588194201801,3.0,Yes,No,Yes,False,1.0,,,,
no,ARKANSAS,SALEM SCHOOL DISTRICT,512090,313 HWY 62 E SUITE 1,,SALEM,AR,72576.0,http://www.salemschools.net,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,South,West South Central,36.355593,-91.816286,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,876.0,2.0,1.0,0.610730593607306,31053.0,0.27,0.919,0.9840000000000001,0.002,0.008,0.0,8e-05,0.013000000000000001,0.034,0.0,0.0,0.0,0.022000000000000002,0.065,0.006999999999999999,6.0,0.066409031,1.0,0.50249161,4.0,7.596848682,2.0,55.58040562,1.0,0.036000000000000004,2.0,0.0,1.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SCRANTON SCHOOL DISTRICT,512180,103 N TENTH ST,,SCRANTON,AR,72863.0,http://www.rocketnet.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.361358,-93.541073,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,437.0,2.0,1.0,0.5034324942791762,53036.0,0.12300000000000001,0.9309999999999999,0.953,0.009000000000000001,0.012,0.006999999999999999,0.00012,0.028999999999999998,0.028999999999999998,0.0,0.0,0.001,0.011000000000000001,0.023,0.012,6.0,0.124005737,2.0,0.32207589,3.0,8.805473001,4.0,58.21605609,2.0,0.075,3.0,0.0979727078354923,3.0,No,Yes,No,False,1.0,,,,2022 CSBP rebate
yes,NEW YORK,ARLINGTON CENTRAL SCHOOL DISTRICT,3603270,144 TODD HILL RD,,LAGRANGEVILLE,NY,12540.0,http://www.arlingtonschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,Northeast,Middle Atlantic,41.65564,-73.777441,227.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004405286343612335,,,,,,,,,No,7849.0,11.0,0.09090909090909091,0.2686966492546821,98762.0,0.065,0.774,0.8270000000000001,0.094,0.10800000000000001,0.002,0.0010800000000000002,0.035,0.045,0.001,0.003,0.036000000000000004,0.07200000000000001,0.057999999999999996,0.121,2.0,0.257292918,3.0,0.136752579,1.0,7.24930902,2.0,59.70450316,3.0,0.034,2.0,0.0961155048564542,2.0,No,No,No,False,1.0,,,,
no,ARKANSAS,SHIRLEY SCHOOL DISTRICT,512420,154 SCHOOL DR,,SHIRLEY,AR,72153.0,http://shirley.k12.ar.us/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,South,West South Central,35.659621,-92.313014,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,319.0,2.0,1.0,1.0,41447.0,0.1,0.9540000000000001,0.9790000000000001,0.009000000000000001,0.009000000000000001,0.003,9e-05,0.006999999999999999,0.015,0.002,0.002,0.0,0.0,0.025,0.027999999999999997,6.0,0.069373043,1.0,0.475861254,4.0,8.050569032,3.0,56.38706609,2.0,0.24100000000000002,4.0,0.100795017740981,3.0,Yes,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SILOAM SPRINGS SCHOOL DISTRICT,512450,847 S DOGWOOD,,SILOAM SPRINGS,AR,72761.0,http://sssd.k12.ar.us/public/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,West South Central,36.177234,-94.554843,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,4612.0,6.0,1.0,0.571335646140503,58720.0,0.14800000000000002,0.726,0.8540000000000001,0.01,0.023,0.049,0.00023,0.032,0.047,0.003,0.003,0.047,0.12,0.132,0.16899999999999998,6.0,0.334975687,4.0,0.376807394,4.0,8.576923009,3.0,58.08916928,2.0,0.04,2.0,0.10503660543814601,4.0,No,No,No,True,1.0,,,,
no,ARKANSAS,SLOAN-HENDRIX SCHOOL DIST.,512480,1 GREYHOUND CIR,,IMBODEN,AR,72434.0,http://shsd.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,South,West South Central,36.200319,-91.185881,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,805.0,2.0,1.0,0.6583850931677019,40677.0,0.113,0.934,0.986,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.013999999999999999,0.037000000000000005,0.052000000000000005,0.037000000000000005,6.0,0.062057065,1.0,0.426696247,4.0,7.83070909,3.0,56.49668995,2.0,0.008,1.0,0.101402357715721,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SMACKOVER SCHOOL DISTRICT,512510,112 E 8TH ST,,SMACKOVER,AR,71762.0,http://smackover.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,33.36385,-92.724371,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1161.0,3.0,1.0,0.4082687338501292,50167.0,0.12,0.818,0.825,0.172,0.177,0.0,0.0017699999999999999,0.0,0.0,0.0,0.001,0.003,0.003,0.006999999999999999,0.003,6.0,0.288341106,3.0,0.435309793,4.0,9.603165562,4.0,56.15242492,2.0,0.026000000000000002,1.0,0.10586233354470499,4.0,No,Yes,No,False,1.0,,,,
no,ARKANSAS,SO. CONWAY CO. SCHOOL DISTRICT,512520,704 E CHURCH,,MORRILTON,AR,72110.0,http://sccsd.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,West South Central,35.150778,-92.736542,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2459.0,5.0,1.0,1.0,44895.0,0.18,0.825,0.858,0.124,0.15,0.001,0.0015,0.008,0.009000000000000001,0.0,0.001,0.009000000000000001,0.011000000000000001,0.032,0.054000000000000006,6.0,0.189152608,3.0,0.422052497,4.0,9.042770476,4.0,56.19751715,2.0,0.132,4.0,0.0994466694871433,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SOUTHSIDE SCHOOL DISTRICT,512540,70 SCOTT DR,,BATESVILLE,AR,72501.0,http://southside.k12.ar.us/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,35.701562,-91.631061,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2234.0,4.0,1.0,0.5398388540734109,43091.0,0.15,0.843,0.94,0.006999999999999999,0.032,0.012,0.00032,0.0,0.0,0.021,0.021,0.021,0.086,0.09699999999999999,0.044000000000000004,6.0,0.109005139,2.0,0.418161907,4.0,8.346267542,3.0,57.79159156,2.0,0.012,1.0,0.10099999999999999,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SOUTH SIDE SCHOOL DISTRICT,512570,334 SOUTHSIDE RD,,BEE BRANCH,AR,72013.0,http://ssbb.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.429264,-92.387714,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,542.0,2.0,1.0,0.22140221402214022,47500.0,0.161,0.922,0.958,0.018000000000000002,0.022000000000000002,0.018000000000000002,0.00022000000000000003,0.0,0.0,0.0,0.0,0.003,0.004,0.04,0.008,6.0,0.118532593,2.0,0.319935691,3.0,8.610597655,3.0,57.24217362,2.0,0.068,3.0,0.10042866950432501,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SPRING HILL SCHOOL DISTRICT,512630,633 HWY 355 W,,HOPE,AR,71801.0,http://springhill.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,33.58436,-93.651823,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,621.0,2.0,1.0,0.5040257648953301,53036.0,0.292,0.7090000000000001,0.7290000000000001,0.0,0.0,0.0,0.0,0.006999999999999999,0.006999999999999999,0.032,0.032,0.23199999999999998,0.247,0.021,0.255,6.0,0.290210343,3.0,0.449312035,4.0,9.468862625,4.0,58.63528108,2.0,0.078,4.0,0.0994109446833753,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,SPRINGDALE SCHOOL DISTRICT,512660,804 W JOHNSON AVE,,SPRINGDALE,AR,72764.0,http://www.springdaleschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,13.0,1,Urban,South,West South Central,36.18751,-94.137601,146.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,22745.0,29.0,0.9310344827586207,0.6986590459441635,59103.0,0.136,0.6,0.7290000000000001,0.026000000000000002,0.034,0.012,0.00034,0.027999999999999997,0.039,0.061,0.069,0.138,0.23600000000000002,0.135,0.32799999999999996,6.0,0.41049069,4.0,0.321196647,3.0,8.817795753,4.0,58.12988394,2.0,0.054000000000000006,3.0,0.098169603524229,3.0,No,No,No,True,1.0,,,,
no,ARKANSAS,STRONG-HUTTIG SCHOOL DISTRICT,512930,108 E 5TH ST,,STRONG,AR,71765.0,http://stronghuttig.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,South,West South Central,33.106404,-92.355626,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,316.0,1.0,1.0,1.0,34555.0,0.147,0.483,0.48700000000000004,0.488,0.488,0.001,0.00488,0.024,0.024,0.0,0.0,0.0,0.0,0.004,0.001,6.0,0.372627547,4.0,0.353647919,3.0,9.364772071,4.0,56.11403211,2.0,,,0.10499999999999901,4.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,STUTTGART SCHOOL DISTRICT,512960,2501 S MAIN,,STUTTGART,AR,72160.0,http://www.stuttgartschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,West South Central,34.484471,-91.559814,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1593.0,4.0,1.0,0.7576898932831136,58154.0,0.174,0.589,0.606,0.377,0.395,0.003,0.00395,0.001,0.001,0.0,0.0,0.005,0.008,0.026000000000000002,0.015,6.0,0.346665611,4.0,0.31585617,3.0,8.770803457,4.0,57.50080728,2.0,0.096,4.0,0.104347972027972,3.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,GREENE CO. TECH SCHOOL DIST.,513080,5413 W KINGSHIGHWAY,,PARAGOULD,AR,72450.0,http://www.gctsd.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,West South Central,36.06567,-90.557281,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3652.0,6.0,1.0,0.4452354874041621,54115.0,0.14300000000000002,0.943,0.966,0.006,0.006999999999999999,0.0,7e-05,0.012,0.013000000000000001,0.0,0.0,0.016,0.027000000000000003,0.023,0.043,6.0,0.074025549,1.0,0.373468719,4.0,8.420382461,3.0,58.24321083,2.0,0.122,4.0,0.0995867838431637,3.0,No,No,No,False,1.0,,,,
no,ARKANSAS,TEXARKANA SCHOOL DISTRICT,513110,3512 GRAND AVE,,TEXARKANA,AR,71854.0,http://txk.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,23.0,2,Suburban,South,West South Central,33.457206,-94.032229,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3888.0,8.0,0.875,0.9971707818930041,44291.0,0.204,0.616,0.635,0.327,0.341,0.015,0.0034100000000000003,0.001,0.002,0.0,0.002,0.018000000000000002,0.023,0.023,0.040999999999999995,6.0,0.324011662,3.0,0.418798834,4.0,9.493991795,4.0,59.47554999,3.0,0.10300000000000001,4.0,0.10952572788866499,4.0,No,Yes,Yes,True,1.0,,,,2022 CSBP rebate
no,ARKANSAS,JACKSON CO. SCHOOL DISTRICT,513230,300 N DOWELL,,TUCKERMAN,AR,72473.0,http://bulldogs.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.735692,-91.201793,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,937.0,3.0,1.0,0.7118463180362861,46136.0,0.221,0.8859999999999999,0.9890000000000001,0.009000000000000001,0.023,0.0,0.00023,0.0,0.0,0.0,0.0,0.001,0.008,0.10300000000000001,0.008,6.0,0.239353715,3.0,0.407231666,4.0,8.423916141,3.0,58.335201,2.0,0.16399999999999998,4.0,0.108300198503588,4.0,No,Yes,Yes,False,1.0,,,,2022 CSBP rebate
no,ARKANSAS,VALLEY SPRINGS SCHOOL DISTRICT,513350,7349 SCHOOL ST,,VALLEY SPRINGS,AR,72682.0,http://valley.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,36.157989,-92.993665,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,852.0,3.0,0.6666666666666666,0.43661971830985913,54583.0,0.063,0.968,0.987,0.001,0.006,0.01,6e-05,0.0,0.0,0.0,0.0,0.001,0.008,0.02,0.016,6.0,0.073597887,1.0,0.40169574,4.0,7.660646884,3.0,56.1141957,2.0,0.109,4.0,0.103803105101237,3.0,No,Yes,No,False,1.0,,,,
no,ARKANSAS,VALLEY VIEW SCHOOL DISTRICT,513380,2131 VALLEY VIEW DR,,JONESBORO,AR,72404.0,http://blazers.k12.ar.us/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,35.77752,-90.737041,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2994.0,4.0,0.0,0.27955911823647295,93333.0,0.044000000000000004,0.897,0.9109999999999999,0.034,0.034,0.006,0.00034,0.040999999999999995,0.040999999999999995,0.0,0.0,0.008,0.015,0.015,0.023,6.0,0.196303549,3.0,0.300008047,3.0,8.625397801,3.0,59.37714839,3.0,0.062,3.0,0.10223839365647701,3.0,No,No,No,False,1.0,,,,
no,ARKANSAS,VAN BUREN SCHOOL DISTRICT,513410,2221 POINTER TRAIL E,,VAN BUREN,AR,72956.0,http://www.vbsd.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,22.0,2,Suburban,South,West South Central,35.45898,-94.335046,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5911.0,11.0,1.0,0.57570631026899,53284.0,0.16399999999999998,0.847,0.907,0.019,0.032,0.01,0.00032,0.019,0.025,0.0,0.001,0.043,0.057999999999999996,0.061,0.11,6.0,0.181833061,3.0,0.405769231,4.0,9.026802556,4.0,57.90625937,2.0,0.08900000000000001,4.0,0.102158828845111,3.0,No,No,No,False,1.0,,,,
no,ARKANSAS,VILONIA SCHOOL DISTRICT,513530,11 EAGLE ST,,VILONIA,AR,72173.0,http://vilonia.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.0835,-92.198238,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3053.0,6.0,0.6666666666666666,0.42613822469701934,67277.0,0.08,0.965,0.9840000000000001,0.008,0.012,0.001,0.00012,0.0,0.003,0.0,0.0,0.006999999999999999,0.015,0.019,0.034,6.0,0.130176232,2.0,0.327717038,3.0,9.547128594,4.0,57.0730574,2.0,0.12,4.0,0.10400178306092099,3.0,No,Yes,No,False,1.0,,20.0,33,
no,ARKANSAS,VIOLA SCHOOL DISTRICT,513560,314 LONGHORN DR,,VIOLA,AR,72583.0,http://violaschool.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,South,West South Central,36.394887,-91.986473,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,387.0,2.0,1.0,0.7209302325581395,39633.0,0.11,0.9670000000000001,0.9940000000000001,0.006,0.006,0.0,6e-05,0.0,0.0,0.0,0.0,0.0,0.003,0.027000000000000003,0.002,6.0,0.055524892,1.0,0.431946131,4.0,7.64737191,3.0,55.36676868,1.0,0.059000000000000004,3.0,0.096124110283891,2.0,Yes,Yes,Yes,False,1.0,,289.0,,
no,ARKANSAS,WALDRON SCHOOL DISTRICT,513680,1560 W SIXTH ST,,WALDRON,AR,72958.0,http://waldron.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,34.8969,-94.1085,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1576.0,4.0,0.75,0.7271573604060914,43191.0,0.161,0.848,0.89,0.033,0.04,0.003,0.0004,0.009000000000000001,0.009000000000000001,0.0,0.005,0.064,0.071,0.043,0.091,6.0,0.162570888,3.0,0.473928796,4.0,8.512971711,3.0,58.83113038,2.0,0.063,3.0,0.10318215613382799,3.0,Yes,Yes,Yes,False,1.0,,,,
no,ARKANSAS,WATSON CHAPEL SCHOOL DISTRICT,513930,4100 CAMDEN RD,,PINE BLUFF,AR,71603.0,http://watson2.arsc.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,34.196934,-92.045304,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1796.0,5.0,1.0,1.0,46048.0,0.14400000000000002,0.456,0.479,0.512,0.52,0.002,0.0052,0.0,0.006999999999999999,0.0,0.0,0.006,0.006999999999999999,0.024,0.015,6.0,0.54342488,4.0,0.309432964,3.0,9.332496135,4.0,55.40829572,1.0,0.066,3.0,0.10155543615207799,3.0,No,Yes,Yes,True,1.0,,,,
no,ARKANSAS,WEST FORK SCHOOL DISTRICT,514010,359 SCHOOL AVE,,WEST FORK,AR,72774.0,http://www.westforkschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,35.921924,-94.191895,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,872.0,3.0,1.0,0.47706422018348627,66125.0,0.048,0.9179999999999999,0.971,0.002,0.006999999999999999,0.013999999999999999,7e-05,0.01,0.01,0.0,0.005,0.003,0.03,0.053,0.016,6.0,0.104350801,2.0,0.298967896,3.0,8.124588271,3.0,57.78294503,2.0,0.052000000000000005,3.0,0.0979999999999999,3.0,No,No,No,False,1.0,,,,
no,ARKANSAS,WESTSIDE SCHOOL DISTRICT,514020,122 THOMPSON ST,,HARTMAN,AR,72840.0,http://westsiderebels.net,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.4328,-93.6183,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,629.0,2.0,1.0,0.9904610492845787,35805.0,0.231,0.823,0.971,0.002,0.006999999999999999,0.0,7e-05,0.027000000000000003,0.027000000000000003,0.0,0.0,0.0,0.11599999999999999,0.14800000000000002,0.151,6.0,0.210274434,3.0,0.559410753,4.0,8.299118185,3.0,58.06812589,2.0,0.134,4.0,0.11037912385073,4.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,WEST SIDE SCHOOL DISTRICT,514040,7295 GREERS FERRY RD,,GREERS FERRY,AR,72067.0,http://westside.afsc.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,35.580705,-92.166198,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,506.0,2.0,1.0,1.0,50559.0,0.193,0.927,0.98,0.001,0.013000000000000001,0.019,0.00013000000000000002,0.001,0.001,0.0,0.004,0.0,0.032,0.052000000000000005,0.01,6.0,0.073337401,1.0,0.387797437,4.0,8.371977858,3.0,56.56736664,2.0,0.129,4.0,0.0952380882995774,2.0,No,Yes,Yes,False,1.0,,,,
no,ARKANSAS,WHITE HALL SCHOOL DISTRICT,514140,1020 W HOLLAND AVE,,WHITE HALL,AR,71602.0,http://www.whitehallsd.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,West South Central,34.285717,-92.107186,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3028.0,6.0,1.0,0.5541611624834875,66578.0,0.161,0.728,0.775,0.19399999999999998,0.226,0.001,0.00226,0.023,0.031,0.006999999999999999,0.006999999999999999,0.0,0.008,0.047,0.038,6.0,0.422043324,4.0,0.344339439,3.0,9.36935056,4.0,55.31315159,1.0,0.07200000000000001,3.0,0.102375338801084,3.0,No,No,No,False,1.0,,,,
yes,VIRGINIA,Arlington County Public Schools,5100270,2110 Washington Blvd.,,Arlington,VA,22204.0,http://www.apsva.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,12.0,1,Urban,South,South Atlantic,38.872682,-77.083473,192.0,,8.0,3.0,5.0,0.0,0.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.041666666666666664,,Dominion,,,,,,,No,27562.0,42.0,0.19047619047619047,0.2998331035483637,128145.0,0.065,0.672,0.742,0.094,0.109,0.004,0.00109,0.102,0.13,0.001,0.003,0.051,0.08800000000000001,0.077,0.155,3.0,0.397995453,4.0,0.138252659,1.0,8.296368048,3.0,64.11629312,4.0,0.038,2.0,0.0828974386186145,1.0,No,No,No,False,1.0,,,,
no,ARKANSAS,WOODLAWN SCHOOL DISTRICT,514400,6760 HWY 63,,RISON,AR,71665.0,http://bears.k12.ar.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,South,West South Central,33.9672,-92.040875,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,573.0,2.0,1.0,0.4886561954624782,69375.0,0.073,0.978,1.0,0.0,0.019,0.0,0.00018999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,0.0,6.0,0.158280922,3.0,0.375786164,4.0,9.205877453,4.0,55.08894275,1.0,0.14400000000000002,4.0,0.10212671193463001,3.0,No,Yes,No,False,1.0,,,,2022 CSBP rebate
