0a. Has committed ESBs?,1a. State,1b. Local Education Agency (LEA) or entity name,1c. LEA ID,1d. Street address 1,1e. Street address 2,1f. City,1g. State,1h. ZIP code,1i. Website,1j. Has LEA ID?,1k. LEA type (number),1l. LEA type (name),1m. Supervisory union LEA ID,1n. Locale (full number),1o. Locale broad type (number),1p. Locale broad type (name),1q. Census Region,1r. Census Division,1s. Latitude,1t. Longitude ,2a. Total number of buses,2b. Contractor used for some or all of buses?,3a. Number of ESBs committed ,3b. Number of delivered or operating ESBs,3c. Number of ESBs awarded,3d. Number of ESBs ordered,3e. Number of ESBs delivered,3f. Number of ESBs operating,3g. Number of batches,3h. Size of batch 1,3h. Size of batch 2,3h. Size of batch 3,3h. Size of batch 4,3h. Size of batch 5,3i. Percent of fleet that is electric,3j. Government agency involved (non-funding),3k. Utility/energy company involved 1,3k. Utility/energy company involved 2,3k. Utility/energy company involved 3,3l. Other groups involved 1,3l. Other groups involved 2,3l. Other groups involved 3,3m. Other notes,4a. Tribal school district?,4b. Number of students in district,4c. Number of schools in district,4d. Percentage of schools in district that are Title I schoolwide eligible,4e. Percentage of students in district eligible for free or reduced price lunch,4f. Median household income,4g. Percent of population below the poverty level,4h. Percent one race: White ,4i. Percent race alone or multiracial: White,4j. Percent one race: Black or African American ,4k. Percent race alone or multiracial: Black or African American,4l. Percent one race: American Indian and Alaska Native ,4m. Percent race alone or multiracial: American Indian and Alaska Native,4n. Percent one race: Asian ,4o. Percent race alone or multiracial: Asian,4p. Percent one race: Native Hawaiian and Other Pacific Islander ,4q. Percent race alone or multiracial: Native Hawaiian and Other Pacific Islander,4r. Percent one race: some other race ,4s. Percent race alone or multiracial: Some other race,4t. Percent two or more races,4u. Percent Hispanic or Latino (of any race) ,5a. EPA Region,5b. Percent non-white and/or Hispanic,5c. Quartile: percent non-white and/or Hispanic,5d. Percent low-income (200% of federal poverty level),5e. Quartile: percent low-income,5f. PM2.5 concentration,5g. Quartile: PM2.5 concentration,5h. Ozone concentration,5i. Quartile: ozone concentration,5j. Percent of school children with a disability,5k. Quartile: percent of school children with a disability,5l. Average rate of asthma among adults aged 18 and older,5m. Quartile: average rate of asthma,5n. Qualified for American Rescue Plan funding? ,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,5p. EPA 2023 Clean School Bus Grant & Rebate Programs prioritized school district?,5q. WRI Priority Outreach District (POD)?,6a. Has any expression of interest in ESBs?,6b. ARP 2021 waitlist position,6c. DERA school bus rebates 2020 waitlist position,6d. DERA school bus rebates 2021 waitlist position,6e. Applied for ESB funding but not awarded
no,ALABAMA,Boaz City,100012,126 Newt Parker Dr,,Boaz,AL,35957.0,http://www.boazk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,34.213187,-86.160456,36.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2471.0,5.0,0.8,0.7304734925131525,40732.0,0.21600000000000003,0.863,0.8759999999999999,0.039,0.039,0.005,0.00039,0.0,0.003,0.0,0.0,0.08,0.087,0.013000000000000001,0.12,4.0,0.232620667,3.0,0.406413994,4.0,8.95757098,4.0,60.51310223,3.0,0.081,4.0,0.0987534512601849,3.0,No,Yes,Yes,False,1.0,,,,2022 CSBP rebate; 2023 CSBP grant
no,ALABAMA,Trussville City,100013,476 Main Street,,Trussville,AL,35173.0,http://trussvillecityschools.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,33.617396,-86.618612,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5065.0,5.0,0.0,0.16110562685093782,108313.0,0.037000000000000005,0.87,0.907,0.066,0.07,0.001,0.0007000000000000001,0.018000000000000002,0.038,0.0,0.0,0.009000000000000001,0.013000000000000001,0.037000000000000005,0.016,4.0,0.215970041,3.0,0.174196666,1.0,9.76266382,4.0,63.60138568,4.0,0.048,2.0,0.0830490139545611,1.0,No,No,No,False,1.0,,,,
no,ALABAMA,Alabama School of Fine Arts,100018,1800 Rev Abraham Woods Jr Blvd,,Birmingham,AL,35203.0,http://www.asfa.k12.al.us,Yes,5.0,State operated agency,,12.0,1,Urban,South,East South Central,33.520933,-86.812936,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,No,No,No,False,1.0,,,,
no,ALABAMA,Alexander City,100030,375 Lee Street,,Alexander City,AL,35010.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,South,East South Central,32.940361,-85.957909,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2899.0,5.0,0.6,0.452914798206278,46750.0,0.162,0.624,0.649,0.32799999999999996,0.331,0.001,0.00331,0.001,0.005,0.0,0.0,0.02,0.035,0.025,0.05,4.0,0.308639892,3.0,0.374957813,4.0,9.23147656,4.0,58.70196046,2.0,0.054000000000000006,3.0,0.10551584026041899,4.0,No,Yes,Yes,False,1.0,,,,
no,ALABAMA,Andalusia City,100060,1201 C C Baker Avenue,,Andalusia,AL,36421.0,http://andalusiacityschools.schoolinsites.com/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,33.0,3,Town,South,East South Central,31.327923,-86.482833,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1871.0,3.0,1.0,0.6392303580972741,40516.0,0.22899999999999998,0.7340000000000001,0.754,0.23199999999999998,0.242,0.001,0.00242,0.0,0.003,0.0,0.0,0.013000000000000001,0.016,0.02,0.032,4.0,0.185739252,3.0,0.414120937,4.0,8.647508829,4.0,58.12733195,2.0,0.11599999999999999,4.0,0.104108622000967,3.0,No,Yes,Yes,False,1.0,,,,
no,ALABAMA,Anniston City,100090,4804 McClellan Boulevard,,Anniston,AL,36206.0,http://www.annistonschools.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,13.0,1,Urban,South,East South Central,33.708165,-85.822863,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1892.0,6.0,0.7142857142857143,0.8187103594080338,39928.0,0.228,0.44299999999999995,0.47,0.514,0.5329999999999999,0.005,0.005329999999999999,0.004,0.006,0.0,0.003,0.001,0.01,0.033,0.035,4.0,0.447307074,4.0,0.425120579,4.0,9.258542909,4.0,60.88508211,3.0,0.053,3.0,0.108323582192817,4.0,No,Yes,Yes,True,1.0,,,,
no,ALABAMA,Arab City,100100,750 Arabian Dr NE,,Arab,AL,35016.0,http://www.arabcityschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,South,East South Central,34.328111,-86.487787,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2653.0,4.0,0.5,0.4598567659253675,50321.0,0.142,0.92,0.9540000000000001,0.01,0.012,0.004,0.00012,0.017,0.02,0.0,0.0,0.015,0.033,0.034,0.048,4.0,0.069962771,1.0,0.3826387,4.0,8.661800575,4.0,61.41313393,3.0,0.066,3.0,0.10058723747980601,3.0,Yes,No,No,False,1.0,,,,
no,ALABAMA,Athens City,100120,455 US Highway 31 North,,Athens,AL,35611.0,http://www.acs-k12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,31.0,3,Town,South,East South Central,34.8092,-86.949816,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,4840.0,8.0,0.5,0.5107438016528926,52211.0,0.136,0.733,0.767,0.156,0.172,0.015,0.00172,0.018000000000000002,0.019,0.001,0.003,0.039,0.052000000000000005,0.038,0.092,4.0,0.251452801,3.0,0.288534706,3.0,8.15381751,3.0,58.66172337,2.0,0.08900000000000001,4.0,0.100257545136081,3.0,No,No,No,False,1.0,,,,
no,ALABAMA,JF Ingram State Technical College,100176,5375 Ingram Rd,,Deatsville,AL,36022.0,,Yes,5.0,State operated agency,,21.0,2,Suburban,South,East South Central,32.582667,-86.391816,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,,8.0,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,Yes,No,No,False,1.0,,,,
no,ALABAMA,Attalla City,100180,101 Case Ave,,Attalla,AL,35954.0,http://www.attalla.k12.al.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,23.0,2,Suburban,South,East South Central,33.998996,-86.108597,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1538.0,3.0,0.6666666666666666,0.8205461638491548,46278.0,0.121,0.8009999999999999,0.83,0.154,0.163,0.001,0.0016300000000000002,0.0,0.0,0.0,0.0,0.015,0.022000000000000002,0.028999999999999998,0.031,4.0,0.205121348,3.0,0.328876112,3.0,9.227940533,4.0,60.97569005,3.0,,,0.09578797102970499,2.0,No,Yes,Yes,False,1.0,,,,
no,ALABAMA,Saraland City,100185,4010 Lil Spartan Drive,,Saraland,AL,36571.0,http://www.saralandboe.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,30.862118,-88.126675,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3354.0,4.0,1.0,0.4937388193202147,61216.0,0.078,0.7929999999999999,0.8370000000000001,0.13699999999999998,0.14300000000000002,0.009000000000000001,0.00143,0.013000000000000001,0.027000000000000003,0.001,0.001,0.003,0.003,0.044000000000000004,0.006,4.0,0.245535303,3.0,0.316478652,3.0,9.256670003,4.0,58.43121417,2.0,0.025,1.0,0.0974912977099236,2.0,Yes,No,No,False,1.0,,,,
no,ALABAMA,Chickasaw City,100188,201 N Craft HWY,,Chickasaw,AL,36611.0,http://www.chickasawschools.com/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,30.763732,-88.075055,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2654.0,4.0,0.75,0.7825923134890731,36196.0,0.342,0.473,0.501,0.47200000000000003,0.486,0.005,0.00486,0.011000000000000001,0.011000000000000001,0.0,0.0,0.011000000000000001,0.02,0.027999999999999997,0.016,4.0,0.524669956,4.0,0.555207361,4.0,9.346125739,4.0,58.6949234,2.0,0.013000000000000001,1.0,0.107520492630728,4.0,No,Yes,Yes,True,1.0,,,,
no,ALABAMA,Satsuma City,100189,220 Baker Road,,Satsuma,AL,36572.0,http://www.satsumaschools.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,30.849239,-88.067799,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1502.0,2.0,1.0,0.47470039946737685,88312.0,0.048,0.893,0.898,0.065,0.067,0.0,0.00067,0.01,0.01,0.0,0.004,0.02,0.03,0.013000000000000001,0.032,4.0,0.226066897,3.0,0.261437908,2.0,9.252448381,4.0,58.24945179,2.0,,,0.114,4.0,No,No,No,False,1.0,,,,
no,ALABAMA,Alabaster City,100190,10111 Highway 119,,Alabaster,AL,35007.0,http://www.alabasterschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,South,East South Central,33.226138,-86.824059,129.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,6425.0,5.0,0.6,0.5003891050583658,83181.0,0.067,0.716,0.748,0.175,0.193,0.01,0.00193,0.013999999999999999,0.019,0.0,0.001,0.047,0.062,0.038,0.091,4.0,0.296888321,3.0,0.209109731,2.0,9.990708927,4.0,66.01801685,4.0,0.057999999999999996,3.0,0.091224987872908,2.0,No,No,No,False,1.0,,,,
